S12M	S13M	S23M	S31M	S48M	S59M	S64M	S6M	S7M	S9M
79.8501	14.3223	45.4646	42.9989	43.203	6.8537	23.3319	14.372	55.2543	57.8836
23	5	41	33	20	61	22	20	10	29
213.252	140.167	223.984	96.3804	393.815	389.46	244.056	258.904	187.543	247.685
107	74	90	52	136	83	65	108	97	105
1677	1087	1948	1076	2675	593	762	1798	1381	1755
515.672	283.308	628.648	338.466	828.759	316.761	241.593	550.454	431.922	514.565
1576.4	16.0322	1956.87	536.141	6123.99	870.914	1860.48	2664.26	757.358	964.808
3196.11	2945.78	3279.14	2543.27	669.937	1279.98	229.814	2467.76	2989.69	3623.98
393	395	508	213	849	123	129	416	347	375
65.5637	62.6299	37.0498	29.6172	92.6831	26.6737	24.5943	90.4327	31.8634	75.8468
163	138	153	108	219	66	56	236	71	97
0	16.5764	9.14e-05	93.3051	125.59	0.0137931	56.1512	9.17474	0	0.0161371
373.228	203.027	408.324	202.354	460.375	208.343	135.501	430.118	285.392	350.399
151.405	145.497	49.972	57.5252	394.98	15.4245	140.647	292.315	182.852	222.797
0	3.52921	33.7195	11.8607	1.48e-07	23.423	0	0	0	0
44.5453	28	65	42	84	15	34	60	29.6003	52.4541
116.579	113.662	85.8019	60.3445	200.447	71.6663	333.857	131.801	96.2887	110.216
124	81	128	67	195	7	60	114	111	109
41	38	40	22	114	12	23	2	62	35
88.6553	79.2955	101.745	56.6506	185.897	15	34.9432	100.726	96.3531	114.933
1391.1	966.644	1108.09	982.876	2146.92	559.403	882.768	1296.99	1011.54	1286.89
22.9431	13.5847	139.689	15.7361	12.3211	49.8058	34.8002	21.1258	12.4234	37.2289
26.3447	4.70454	25.2546	10.3494	7.10335	1	1.05676	30.2744	13.6469	6.06714
21	1	38	13	0	7	13	67	0	41
215	149	237	109	275	265	119	314	211	209
646.38	328.267	573.484	469.759	856.887	293.589	351.547	642.715	457	458.956
2065.18	142.53	1463.79	397.987	2324.32	142.387	585.026	1008.66	1026.17	494.241
291.384	261.312	487.25	390.366	538.905	277.014	168.904	376.185	267.56	379.628
344.662	310.411	565.099	459.108	649.014	322.004	201.358	446.494	334.757	462.283
374.854	338.322	608.577	497.898	712.246	347.172	219.856	486.439	374.447	510.139
374.854	338.322	608.577	497.898	712.246	347.172	219.856	486.439	374.447	510.139
482.266	438.057	760.159	635.093	941.413	435.124	286.199	629.048	524.08	685.572
524.527	477.46	818.665	688.773	1033.17	469.146	312.501	685.345	586.24	756.569
524.527	477.46	818.665	688.773	1033.17	469.146	312.501	685.345	586.24	756.569
620.497	567.232	949.552	810.143	1244.41	545.39	372.586	813.522	733.573	921.405
18	23	29	23	36	5	12	26	16	24
55	39	72	26	85	24	34	39	74.6712	62
1416.04	853.407	1288.51	818.207	2269.91	413.479	718.574	1370.73	1109.62	1031.87
124	49	119	90	159	206	122	127	91	125
2519.54	1755.57	2436.03	2515.26	3925.71	994.559	1939.42	2488.51	2113.24	2512.94
2686.17	2196.76	2670.35	2011.22	4583.56	872.764	1144.54	2546.13	2411.31	2292.97
3.18336	3.10826	6.37471	6.20159	7.40069	3.139	1.01926	4.18545	4.18511	4.15843
2190.53	2562.85	2491.51	1575.48	5296.42	3183.19	1265.93	3369.02	1786.89	2531.74
158.5	77	29.1108	69.4999	214.499	70.3487	21.3577	29.217	21.8519	148
158.5	77	29.1108	69.4999	214.499	70.3487	21.3577	29.217	21.8519	148
0	0	35.5568	3.39e-05	0.000279968	0.0503743	27.0768	36.8307	29.5892	1.12e-05
0	0	35.5568	3.39e-05	0.000279968	0.0503743	27.0768	36.8307	29.5892	1.12e-05
0	0	35.5568	3.39e-05	0.000279968	0.0503743	27.0768	36.8307	29.5892	1.12e-05
0	0	53.0541	5.26e-05	0.000462725	0.0756887	43.5271	58.537	54.2643	1.91e-05
0	0	53.0541	5.26e-05	0.000462725	0.0756887	43.5271	58.537	54.2643	1.91e-05
3490.96	2563.17	4322.35	2764.82	5867.34	1967.94	1757.78	3914.36	3024.06	3704.89
2043.17	941.566	2443.32	1691.71	3441.87	1814.14	1225.51	1791.35	1480.37	2238.31
41	5	27	20	61	22	6	35	35	16
27	18	47	29	61	17	15	45	25	32
122	75	122	160	261	47	84	203	74	161
1826.22	1457.35	1746.63	1414.68	2827.86	581.971	1548.28	1671.44	1202.68	1690.4
748.856	377.925	622.341	514.906	931.216	157.493	316.43	588.971	642.59	528.488
1026.17	897.484	926.193	852.597	1709.64	339.458	897.493	1054.93	873.444	1011.61
125	41.3837	127.369	65	182.61	39.1129	21	113.187	67.2967	130
3684.65	2612.59	3707.45	3385.45	5941.37	2956.36	2715.63	3803.68	2833.92	3640.34
3026.02	1578.77	2601.58	1572.76	5237.77	1516.26	1169.85	2788.16	2080.6	2395.76
0	2.32494	0	1.49178	3.30219	0.0110469	0.332323	0.365279	1.06539	1.00329
0	36.8367	0	20.8199	65.0758	0.124644	5.52462	5.73312	39.5741	23.8902
143.381	93.7125	181.559	373.91	218.255	35.4577	187.344	125.055	139.654	147.347
143.381	93.7125	181.559	373.91	218.255	35.4577	187.344	125.055	139.654	147.347
13.9608	70.8514	27.9301	13.2977	80.3943	20.8636	25.1434	37.4042	26.5999	12.5427
297.906	182.794	313.907	219.448	437.526	192.549	188.144	320.701	261.721	321.491
297.906	182.794	313.907	219.448	437.526	192.549	188.144	320.701	261.721	321.491
68	35	75	65	109	33	40	66	52	72
1322.16	609.195	1699.3	899.923	2141.74	1401.49	623.931	1350.6	1098.9	1237.43
