"","S12M","S13M","S16F","S19F","S22F","S23M","S29F","S31M","S35F","S36F","S39F","S3F","S41F","S44F","S48M","S50F","S52F","S53F","S54F","S59M","S64M","S6M","S76F","S77F","S7M","S9M"
"rna-XR_002636969.1",79.8501,14.3223,6.07477,0,7.84348,45.4646,0,42.9989,0,3.60649,0,0,3.64357,0,43.203,11.6703,7.78315,0,8.45579,6.8537,23.3319,14.372,3.42259,16.2001,55.2543,57.8836
"rna-XR_002635081.1",23,5,5,4,21,41,14,33,25,70,3,28,24,24,20,18,15,32,26,61,22,20,32,15,10,29
"rna-XR_002636046.1",213.252,140.167,2741.33,263.967,548.445,223.984,1873.76,96.3804,449.289,555.687,930.036,776.716,653.182,1073.04,393.815,428.367,1318.35,694.817,655.952,389.46,244.056,258.904,334.635,517.831,187.543,247.685
"rna-XR_002638148.1",107,74,39,14,43,90,48,52,19,41,12,22,52,70,136,35,37,26,61,83,65,108,27,31,97,105
"rna-XR_002639675.1",1677,1087,82,91,126,1948,497,1076,79,121,79,133,258,323,2675,109,597,139,287,593,762,1798,179,101,1381,1755
"rna-XR_002636574.1",515.672,283.308,23.3404,18.1134,30.6,628.648,107.05,338.466,19.2367,37.2674,19.1051,31.5713,93.935,69.6966,828.759,22.2334,94.6737,35.561,82.4793,316.761,241.593,550.454,69.9337,29.5146,431.922,514.565
"rna-XR_002636864.1",1576.4,16.0322,24.3852,500.641,837.599,1956.87,755.188,536.141,6.47661,108.452,14.2505,536.757,441.985,685.774,6123.99,242.96,458.977,693.238,955.198,870.914,1860.48,2664.26,879.48,71.1573,757.358,964.808
"rna-XR_002636863.1",3196.11,2945.78,495.685,49.4205,77.589,3279.14,521.951,2543.27,396.942,590.993,638.296,56.6437,474.766,65.5975,669.937,426.962,850.582,62.5676,82.5911,1279.98,229.814,2467.76,118.985,599.406,2989.69,3623.98
"rna-XR_002635698.1",393,395,73,17,24,508,66,213,31,20,24,23,44,71,849,15,2016,27,80,123,129,416,38,24,347,375
"rna-XR_002637875.1",65.5637,62.6299,5.31903,6.96732,10.4969,37.0498,8.71207,29.6172,3.98861,5.76149,12.6194,6.12595,3.91177,19.0501,92.6831,8.95953,19.5244,8.00758,17.3418,26.6737,24.5943,90.4327,13.4222,1.30076,31.8634,75.8468
"rna-XR_002639757.1",163,138,39,8,0,153,17,108,4,15,5,4,17,30,219,5,62,13,25,66,56,236,21,10,71,97
"rna-XR_002637404.1",0,16.5764,0,16.9922,48.9472,9.14128e-05,0.0091103,93.3051,21.9378,0,0,0.0158573,5.13926e-05,1.02084e-08,125.59,0.000377071,58.2366,0,44.9133,0.0137931,56.1512,9.17474,0,0,0,0.0161371
"rna-XR_002637403.1",373.228,203.027,73.0676,27.009,81.0578,408.324,151.044,202.354,54.067,126.01,53,50.9881,107.23,142.025,460.375,49.0064,53.9586,256.009,81.1217,208.343,135.501,430.118,121.031,95,285.392,350.399
"rna-XR_002638411.1",151.405,145.497,0,0,0,49.972,15.5026,57.5252,3.08036,0,0,11.003,12.3679,9.21882,394.98,9.24954,6.14459,3.09929,18.5771,15.4245,140.647,292.315,6.16483,20.9499,182.852,222.797
"rna-XR_002638407.1",0,3.52921,27.1254,2.06199,2.05916,33.7195,3.01568,11.8607,0.36494,3.01007,4.57964,0,0.0996247,11.0079,1.4838e-07,2.18831,1.20448,2.26703,1.18381,23.423,0,0,2.5445,0,0,0
"rna-XR_002639131.1",44.5453,28,33.5848,1,2,65,5,42,0,1,1,1,2,6,84,3,8,1,2,15,34,60,3,2,29.6003,52.4541
"rna-XR_002637017.1",116.579,113.662,246.138,5.08668,17.0706,85.8019,10.2535,60.3445,3.08695,4.02235,9.14903,9.32465,12.1142,14.762,200.447,7.17292,31.6129,12.5381,12.4787,71.6663,333.857,131.801,8.30209,2.03594,96.2887,110.216
"rna-XR_002637713.1",124,81,48,0,6,128,14,67,3,2,1,4,7,24,195,2,16,8,11,7,60,114,6,1,111,109
"rna-XR_002637880.1",41,38,17,0,0,40,3,22,0,3,1,5,4,6,114,2,4,5,3,12,23,2,3,4,62,35
"rna-XR_002637799.1",88.6553,79.2955,3,2,2,101.745,6.44673,56.6506,2,1,1,5,5,8,185.897,3,8,9,4,15,34.9432,100.726,2,2,96.3531,114.933
"rna-XR_002638995.1",1391.1,966.644,328.582,470.696,795.175,1108.09,500.3,982.876,463.728,622.081,476.741,330.014,523.475,842.031,2146.92,518.529,421.049,753.103,532.051,559.403,882.768,1296.99,493.632,488.281,1011.54,1286.89
"rna-XR_002634943.1",22.9431,13.5847,0,2.55626,1.94394,139.689,50.3035,15.7361,6.23639,15.8729,12.8164,12.1538,33.76,0,12.3211,30.0482,10.6641,8.26562,4.16828,49.8058,34.8002,21.1258,6.04667,0,12.4234,37.2289
"rna-XR_002638063.1",26.3447,4.70454,0,0,0,25.2546,2.55327,10.3494,0,0,0,0,1,0,7.10335,0,0,0,2,1,1.05676,30.2744,0,0,13.6469,6.06714
"rna-XR_002638876.1",21,1,0,0,1,38,2,13,1,0,0,0,2,1,0,1,2,0,4,7,13,67,3,0,0,41
"rna-XR_002637797.1",215,149,459,1099,1948,237,719,109,1143,1741,1316,778,1328,4673,275,1611,419,1863,965,265,119,314,2051,1683,211,209
"rna-XR_002635789.1",646.38,328.267,161,133.636,250.502,573.484,222.492,469.759,120,112.181,88.3606,230.701,118.9,85,856.887,103.482,549.686,132.532,215.613,293.589,351.547,642.715,94.2368,139.558,457,458.956
"rna-XR_002634753.1",2065.18,142.53,762.923,109.562,277.847,1463.79,420.774,397.987,238.082,253.274,195.822,281.686,354.072,259.22,2324.32,549.085,721.854,173.225,370.519,142.387,585.026,1008.66,80.6355,30.197,1026.17,494.241
"rna-XR_002634768.1",291.384,261.312,76.9258,94.4614,121.151,487.25,167.179,390.366,91.4228,99.5655,78.5306,76.065,97.8935,97.7243,538.905,45.5167,120.089,77.9535,114.857,277.014,168.904,376.185,107.574,81.0743,267.56,379.628
"rna-XR_002634760.1",344.662,310.411,93.2845,114.727,147.934,565.099,205.639,459.108,110.467,115.539,95.2605,91.8684,119.427,119.002,649.014,55.4857,147.686,95.3979,141.071,322.004,201.358,446.494,127.248,98.2739,334.757,462.283
"rna-XR_002634750.1",374.854,338.322,102.727,126.437,163.472,608.577,228.073,497.898,121.43,124.464,104.919,100.963,131.911,131.322,712.246,61.262,163.781,105.535,156.344,347.172,219.856,486.439,138.398,108.198,374.447,510.139
"rna-XR_002634765.1",374.854,338.322,102.727,126.437,163.472,608.577,228.073,497.898,121.43,124.464,104.919,100.963,131.911,131.322,712.246,61.262,163.781,105.535,156.344,347.172,219.856,486.439,138.398,108.198,374.447,510.139
"rna-XR_002634752.1",482.266,438.057,137.192,169.25,220.594,760.159,311.173,635.093,161.297,155.597,140.186,134.021,177.764,176.484,941.413,82.4605,223.388,142.886,212.833,435.124,286.199,629.048,178.065,144.408,524.08,685.572
"rna-XR_002634754.1",524.527,477.46,151.084,186.532,243.773,818.665,345.132,688.773,177.311,167.62,154.405,147.293,196.353,194.762,1033.17,91.0483,247.741,158.075,235.884,469.146,312.501,685.345,193.673,158.997,586.24,756.569
"rna-XR_002634762.1",524.527,477.46,151.084,186.532,243.773,818.665,345.132,688.773,177.311,167.62,154.405,147.293,196.353,194.762,1033.17,91.0483,247.741,158.075,235.884,469.146,312.501,685.345,193.673,158.997,586.24,756.569
"rna-XR_002634766.1",620.497,567.232,183.234,226.577,297.699,949.552,424.585,810.143,214.27,194.529,187.321,177.915,239.573,237.197,1244.41,111.003,304.712,193.473,289.755,545.39,372.586,813.522,229.117,192.751,733.573,921.405
"rna-XR_002633935.1",18,23,1,0,1,29,7,23,0,0,0,1,4,1,36,4,9,4,8,5,12,26,0,0,16,24
"rna-XR_002634061.1",55,39,30,8,16,72,10,26,14,13,14,14,16,13,85,7,10,8,1,24,34,39,9,5,74.6712,62
"rna-XR_002639939.1",1416.04,853.407,239.972,145.044,206.085,1288.51,333.384,818.207,161.436,226.284,114.331,172.841,259.71,249.057,2269.91,118.342,376.231,190.172,348.635,413.479,718.574,1370.73,219.271,128.963,1109.62,1031.87
"rna-XR_002636171.1",124,49,996,594,1060,119,663,90,611,723,853,757,485,583,159,503,719,680,538,206,122,127,486,655,91,125
"rna-XR_002639137.1",2519.54,1755.57,308.556,223.09,493.461,2436.03,885.371,2515.26,289.297,439.432,275.085,350.675,591.277,393.788,3925.71,361.079,866.295,463.816,865.67,994.559,1939.42,2488.51,447.109,281.754,2113.24,2512.94
"rna-XR_002639138.1",2686.17,2196.76,423.62,305.451,455.7,2670.35,654.028,2011.22,295.881,400.275,290.017,311.976,525.222,393.462,4583.56,254.049,2012.47,392.442,505.2,872.764,1144.54,2546.13,408.276,260.581,2411.31,2292.97
"rna-XR_002637000.1",3.18336,3.10826,0,0,0,6.37471,0,6.20159,0,1.02286,1.15438,1.04396,0,2.43882,7.40069,0,0,0,3.17962,3.139,1.01926,4.18545,1.02826,0,4.18511,4.15843
"rna-XR_002635934.1",2190.53,2562.85,429.024,205.962,393.395,2491.51,617.341,1575.48,165.258,303.534,173.307,340.021,490.499,469.904,5296.42,229.946,818.129,311.888,460.175,3183.19,1265.93,3369.02,422.902,253.586,1786.89,2531.74
"rna-XR_002638094.1",158.5,77,9.43553,1.06709,2.97151,29.1108,6.59869,69.4999,14,2.14413,2.43208,1.86651,2.20945,37,214.499,1.44296,212.08,3.24335,6.52896,70.3487,21.3577,29.217,2.77765,2.0466,21.8519,148
"rna-XR_002638095.1",158.5,77,9.43553,1.06709,2.97151,29.1108,6.59869,69.4999,14,2.14413,2.43208,1.86651,2.20945,37,214.499,1.44296,212.08,3.24335,6.52896,70.3487,21.3577,29.217,2.77765,2.0466,21.8519,148
"rna-XR_002638091.1",0,0,12.2558,1.38832,3.89388,35.5568,8.73343,3.39086e-05,0,2.62222,3.15882,2.40999,2.89152,2.83741e-06,0.000279968,1.88683,280.706,4.2624,8.62185,0.0503743,27.0768,36.8307,3.48629,2.65529,29.5892,1.11921e-05
"rna-XR_002638093.1",0,0,12.2558,1.38832,3.89388,35.5568,8.73343,3.39086e-05,0,2.62222,3.15882,2.40999,2.89152,2.83741e-06,0.000279968,1.88683,280.706,4.2624,8.62185,0.0503743,27.0768,36.8307,3.48629,2.65529,29.5892,1.11921e-05
"rna-XR_002638097.1",0,0,12.2558,1.38832,3.89388,35.5568,8.73343,3.39086e-05,0,2.62222,3.15882,2.40999,2.89152,2.83741e-06,0.000279968,1.88683,280.706,4.2624,8.62185,0.0503743,27.0768,36.8307,3.48629,2.65529,29.5892,1.11921e-05
"rna-XR_002638090.1",0,0,20.6808,2.35044,6.68768,53.0541,15.3012,5.26392e-05,0,3.92254,5.32968,4.0185,4.95328,4.8385e-06,0.000462725,3.2268,491.861,7.36305,15.0383,0.0756887,43.5271,58.537,5.49292,4.47046,54.2643,1.90691e-05
"rna-XR_002638096.1",0,0,20.6808,2.35044,6.68768,53.0541,15.3012,5.26392e-05,0,3.92254,5.32968,4.0185,4.95328,4.8385e-06,0.000462725,3.2268,491.861,7.36305,15.0383,0.0756887,43.5271,58.537,5.49292,4.47046,54.2643,1.90691e-05
"rna-XR_002638679.1",3490.96,2563.17,627.451,416.813,537.885,4322.35,1072.72,2764.82,461.664,710.429,382.852,500.563,1165.06,903.648,5867.34,499.487,1143.28,549.808,985.081,1967.94,1757.78,3914.36,710.35,601.538,3024.06,3704.89
"rna-XR_002638671.1",2043.17,941.566,513.444,197.109,415.761,2443.32,618.449,1691.71,325.461,307.738,191.658,238.219,574.24,515.562,3441.87,139.094,648.663,305.256,424.321,1814.14,1225.51,1791.35,446.863,395.924,1480.37,2238.31
"rna-XR_002638132.1",41,5,0,2,2,27,10,20,5,0,1,1,6,4,61,1,9,2,4,22,6,35,9,3,35,16
"rna-XR_002636687.1",27,18,3,4,3,47,9,29,2,6,4,3,4,3,61,2,10,3,4,17,15,45,5,2,25,32
"rna-XR_002638840.1",122,75,28,2,5,122,31,160,7,20,5,7,11,11,261,2,29,6,18,47,84,203,10,7,74,161
"rna-XR_002638600.1",1826.22,1457.35,334.707,384.044,510.171,1746.63,494.729,1414.68,412.748,320.312,366.034,460.285,460.176,382.232,2827.86,296.751,639.816,230.817,558.467,581.971,1548.28,1671.44,429.437,377.304,1202.68,1690.4
"rna-XR_002635894.1",748.856,377.925,46.0159,65.0351,36.7811,622.341,146.145,514.906,29.6952,56.7206,33.9563,61.556,111.67,51.1552,931.216,66.2335,144.101,55.6805,89.1637,157.493,316.43,588.971,62.5886,51.6039,642.59,528.488
"rna-XR_002635072.1",1026.17,897.484,179.391,165.179,219.219,926.193,250.254,852.597,127.03,185.277,124.659,145.823,199.651,205.936,1709.64,148.147,287.961,172.097,220.244,339.458,897.493,1054.93,184.561,164.862,873.444,1011.61
"rna-XR_002636555.1",125,41.3837,4,6,3,127.369,20,65,1,0,2,10,47.884,7,182.61,2,12.0981,2,5,39.1129,21,113.187,10,3,67.2967,130
"rna-XR_002638364.1",3684.65,2612.59,2777.88,750.594,572.914,3707.45,1296.58,3385.45,1134.38,680.705,981.849,574.559,993.231,956.308,5941.37,542.417,1357.85,1081.33,1122.43,2956.36,2715.63,3803.68,922.445,578.744,2833.92,3640.34
"rna-XR_002637425.1",3026.02,1578.77,2026.68,416.044,497.513,2601.58,1482.4,1572.76,494.894,362.418,635.233,834.079,921.218,1595.63,5237.77,524.903,1885.65,836.162,781.389,1516.26,1169.85,2788.16,601.234,610.037,2080.6,2395.76
"rna-XR_002637423.1",0,2.32494,0,0,0,0,0,1.49178,0.142175,0.195542,0,0,0,0,3.30219,0,0,0,0.45093,0.0110469,0.332323,0.365279,0,0,1.06539,1.00329
"rna-XR_002637424.1",0,36.8367,0,0,0,0,0,20.8199,3.01155,2.15607,0,0,0,0,65.0758,0,0,0,12.3965,0.124644,5.52462,5.73312,0,0,39.5741,23.8902
"rna-XR_002637419.1",143.381,93.7125,40.8117,86.7397,110.32,181.559,21.5789,373.91,150.785,166.198,135.454,71.8127,145.3,103.032,218.255,82.2643,156.713,29.5357,185.044,35.4577,187.344,125.055,0.0337164,108.446,139.654,147.347
"rna-XR_002637421.1",143.381,93.7125,40.8117,86.7397,110.32,181.559,21.5789,373.91,150.785,166.198,135.454,71.8127,145.3,103.032,218.255,82.2643,156.713,29.5357,185.044,35.4577,187.344,125.055,0.0337164,108.446,139.654,147.347
"rna-XR_002636179.1",13.9608,70.8514,0,13.0742,5.10739,27.9301,43.529,13.2977,30.3676,6.72235,19.0208,21.1445,20.3338,0,80.3943,11.323,11.9978,0,4.60928,20.8636,25.1434,37.4042,14.8338,22.7932,26.5999,12.5427
"rna-XR_002634989.1",297.906,182.794,68.7926,41.8283,151.929,313.907,107.689,219.448,41.5905,106.58,99.1945,49.615,78.5751,189.479,437.526,64.7087,90.233,82.9252,71.014,192.549,188.144,320.701,55.5125,40.2169,261.721,321.491
"rna-XR_002634991.1",297.906,182.794,68.7926,41.8283,151.929,313.907,107.689,219.448,41.5905,106.58,99.1945,49.615,78.5751,189.479,437.526,64.7087,90.233,82.9252,71.014,192.549,188.144,320.701,55.5125,40.2169,261.721,321.491
"rna-XR_002637676.1",68,35,30,59,62,75,32,65,45,58,29,46,56,34,109,49,40,45,46,33,40,66,34,44,52,72
"rna-XR_002639760.1",1322.16,609.195,1023.53,971.358,1671.2,1699.3,1274.03,899.923,1182.73,1302.35,1097.24,1146.83,1279.4,1253.89,2141.74,1204.78,1028.3,1461.44,1273.28,1401.49,623.931,1350.6,852.749,1263.73,1098.9,1237.43
"rna-XR_002637696.1",186.026,154.902,12.167,13.0532,14.5419,254.878,52.9935,118.78,10.0551,20.1581,16.1517,12.1689,31.5143,63.382,458.231,22.0494,43.2831,8.02912,30.4598,75.6656,103.298,108.944,15.0861,10.0842,136.903,80.1612
"rna-XR_002637764.1",1074.91,697.168,78.1085,32.5193,66.7246,1332.77,201.12,681.257,36.2252,46.6784,70.4981,65.6409,136.116,147.574,2104.27,43.0963,253.277,75.5097,182.089,450.96,439.771,1277.18,108.454,41.5946,934.121,1210.83
"rna-XR_002638213.1",159,90,5,9,12,176,39,132,11,9,6,8,36,28,296,7,21,10,27,57,81,218,18,12,144,191
"rna-XR_002635759.1",163.602,282.074,14.2922,150.544,7.86534,80.5897,261.787,261.499,127.203,179.253,160.918,185.124,92.43,32.1792,36.3154,0.00565038,285.338,117.071,0.425532,1.15282,230.771,63.0327,0.0515659,174.001,68.65,63.2042
"rna-XR_002635760.1",608.398,154.926,1041.71,76.4558,311.135,756.41,127.213,148.501,65.7971,106.747,82.0825,95.8756,557.57,717.821,1460.68,216.994,138.662,57.9286,503.574,450.847,125.229,772.967,233.948,88.9987,548.35,500.796
"rna-XR_002639528.1",494.426,472.15,22,36,55,503.02,114,384.788,20,14,34,21.399,80.6508,36,892.96,33,143,75,107.229,72.2249,366.672,696.543,39,26,411.897,521.143
"rna-XR_002637753.1",2869.37,2500.27,497.347,480.173,850.411,3293.44,1235.07,2807.34,422.735,643.605,645.076,773.231,910.888,528.788,5052.45,480.944,483.48,743.084,917.327,1356.16,1950.86,3252.61,610.648,427.985,2687.46,3533.21
"rna-XR_002637752.1",869.514,746.413,1080.13,332.236,482.745,1212.15,871.803,580.241,454.881,529.006,465.362,203.998,335.893,826.952,2095.57,651.376,1723.45,462.083,542.514,688.336,199.896,1393.28,254.486,382.138,831.073,1214.25
"rna-XR_002636558.1",608.045,353.491,39.2654,79.5538,117.735,705.305,194.518,633.622,52.1286,62.6378,44.656,84.8767,143.737,138.507,896.896,49.8351,139.627,107.919,218.553,819.262,576.482,615.772,137.924,83.8991,484.333,408.068
