gene_id	S12M	S13M	S16F	S19F	S22F	S23M	S29F	S31M	S35F	S36F	S39F	S3F	S41F	S44F	S48M	S50F	S52F	S53F	S54F	S59M	S64M	S6M	S76F	S77F	S7M	S9M
ATP6	339	156	12248	14475	26504	385	10154	151	13449	16427	12951	17225	12307	20127	352	14668	10978	19138	11427	3245	1850	234	21622	24366	462	261
COX1	1776	378	40666	86704	101311	1218	39180	442	46672	64549	69552	46714	57946	79430	1063	57793	53649	68518	49067	23933	10291	1042	63572	81311	1672	900
COX2	601	206	20774	54731	61239	601	22481	189	23731	30987	44358	25387	26232	40511	488	38815	24023	38733	24996	13147	5367	413	34611	45901	866	385
COX3	695	227	13264	14709	30136	702	10421	206	12151	18297	13023	12487	12311	26936	535	14579	13991	14069	11977	8799	4471	449	17059	25338	851	430
CYTB	1327	368	38205	87122	122788	997	39634	374	55774	84699	77482	51526	55950	61535	864	91762	58470	93194	52690	28864	11244	872	64138	79519	1800	795
LOC111099029	47.8489	197.919	11.2543	145.229	314.622	63.0283	320.016	149.811	49.1238	430.59	449.089	26.1445	2978.4	59.7555	69.1905	509.107	91.4297	187.218	1336.21	50.6	22.0408	54.5455	64.9861	383.718	191.901	226.158
LOC111099030	69	51	34	0	0	66.75	10	35	2	2	8	0	6	4	96	3	6	1	8	12.485900000000001	16	64	1	1	46.6194	63.1824
LOC111099031	13.29608	23.0038	2	3	1	33.444	1	16	0	1	1	2	4	3	62.0774	0	2	2	6	2	18	15.4679	0	0	55.058	23.1366
LOC111099032	120	56	1	2	5	168	17	50	5	3	2	5	17	5	177	4	6	5	6	30	38	124	10	4	86	103
LOC111099033	61.9512	81.2763	99.7403	35.1	33.8824	52.2523	72.2727	69.5946	13.3333	0	22.65	31.6	9.21053	13.8816	256.956	48.2143	287.583	18.5455	81.2903	44.8158	87.5932	136.791	0	160	148.481	99.6226
LOC111099034	25.7147	6.88613	9.28571	78.6094	6.77273	53.9072	24.3475	21.3786	99.5556	15.6383	1.91404	74.1	24.9183	29.413	32.0688	42.9268	14.5385	5.50685	21.8182	3.37048	38.6093	36.766	0	42.2222	32.285	46.1283
LOC111099035	0	53	28	0	65.6566	0	25	0	0	45	135.0574	112.3256	0	0	0	107.3272	2.37438	0	110.1274	0	0	42	108.8888	194.7636	0	0
LOC111099036	32.8889	84.12885999999999	168.2978	65.1217	75.6637	122.036	72.3218	94	35.98887	2.63851	24.8182	72.4348	84.4437	80.7975	157.052	36.11385	56.1128	74.1398	42.0571	27.8095000452629	11.402164999999998	106.738	32.1944	17.5886	83.4167	39.8361
LOC111099037	161	121	5	2	10	185	14	67	3	2	6	3	16	10	238	10	19	4	10	477	260	173	8	2	133	164
LOC111099039	114	80	34	0	1	71	14	63	1	1	3	6	11.6733	4	210.561	2	21	5	9	12	25	126	5	0	89	126
LOC111099040	397.00013881262	305.99957319239803	955.9991999999999	182.00005495053	193.999900442708	374.0000424022	675.99998	188.00005165345772	157.9999954	122.00002750000002	172.000020996	273.00018	492.99961234364	770.0003000552349	577.0003247	317.999500436602	763.99934035567	249.0000106	295.0000290393402	277.99985000000004	267.9997986	411.0001696746401	347.999732142815	290.9995645684682	342.0003149229991	481.00042464561665
LOC111099041	60.8824	39.7894	3.04424	27.4286	115.5168	62.055	42.7458	0	87.1622	124.6736	54.0274	21.923	3.01124	128.813	202.162	0	427.148	44.7164	41.4	63	1.914286	50.5862	34.6072	10.18182	44.7794	99.8096
LOC111099043	336	307	40	5	11	469	51	155	20	12	13	19	36	55	602	28	127	15	50	69	150	450	17	16	323	405
LOC111099044	50	41	18	3	4	79	12	32	8	5	6	5	21	10	89	5	9	6	7	6	22	67	5	3	33	50
LOC111099045	76.557	72.7595886	166.3733	1741.8629999999998	912.7259999999999	153.815	288.1207	99.6747	602.537	662.5060000000001	996.578	343.529	272.423	249.58100000000002	370.101	492.0515	8.54384	715.184	641.56	142	87.4859	165.41879999999998	1059.7559999999999	1247.131	127.8115	82.3848
LOC111099046	76.78723	31.700519999999997	16.4167	7	0	15.2881	5.15653	17.045281605	0	0	2.44543	0	7.50714	11.97256	0	3.16963	4.11293	0	4.44843	0	7.43378	73.8783	3.53804	1.41693	20.778460000000003	27.977169999999997
