gene_id	S12M	S13M	S16F	S19F	S22F	S23M	S29F	S31M	S35F	S36F	S39F	S3F	S41F	S44F	S48M	S50F	S52F	S53F	S54F	S59M	S64M	S6M	S76F	S77F	S7M	S9M
ATP6	151.981	93.1466	2766.25	3638.02	4695.15	152.021	2769.82	120.783	3581.39	4171.23	2890.12	4811.11	3115.81	4218.84	95.2297	3629.38	2620.4	4228.08	2979.05	1174.86	880.199	91.462	5197.62	4978.87	237.676	114.149
COX1	297.932	84.7935	3419.22	8191.72	6766.2	183.755	4035.2	129.487	4685.98	6174.25	5841.38	4903.09	5523.01	6219.91	108.109	5378.72	4800.34	5728.19	4845.39	3191.98	1792.4	152.625	5757.09	6228.52	320.698	147.479
COX2	261.149	119.239	4546.32	13335.2	10518.4	230.241	5946.26	146.369	6127.19	7628.69	9596.89	6874.02	6438.76	8229.72	127.989	9310.96	5558.17	8298.3	6319.73	4609.82	2472.23	156.469	8066.59	9091.41	431.725	163.209
COX3	260.944	113.63	2505.58	3099.79	4479.73	233.394	2386.19	137.23	2715.18	3897.77	2437.49	2924.11	2614.38	4726.7	121.361	3025.2	2798.25	2610.61	2623.24	2657.06	1771.28	147.032	3440.28	4338.1	366.301	157.549
CYTB	305.498	113.186	4413.41	11284.5	11235.2	205.454	5590.61	151.077	7671.95	11101.9	8919.01	7414.88	7308.49	6615.4	120.464	11706.5	7176.97	10665.4	7121.03	5301.33	2700.69	175.223	7959.11	8355.84	474.181	178.731
LOC111099029	2.60659	14.4408	0.306652	4.46397	6.8442	3.11435	10.742	14.1306	1.60656	13.4105	12.2763	0.89263	92.4122	1.51842	2.28938	15.4188	2.65841	5.10577	43.0629	2.17785	1.23572	2.59599	1.91632	9.55211	11.9353	12.0403
LOC111099030	50.4116	49.426	12.5753	0	0	42.0779	4.40515	46.6108	0.861294	0.822078	2.89223	0	2.46038	1.36846	42.1265	1.20319	2.32935	0.356025	3.35718	7.48192	12.6746	40.7047	0.389049	0.332306	39.2215	44.9743
LOC111099031	4.91944	11.34824	0.372263	0.623074	0.1465074	10.96164	0.225684	10.49908	0	0.209954	0.1844692	0.461564	0.837176	0.518768	13.87802	0	0.394196	0.3658	1.295312	0.594972	7.02424	4.9916	0	0	23.3522	8.3539
LOC111099032	25.6724	16.0096	0.107318	0.240795	0.425335	32.2112	2.22954	18.7459	0.639415	0.365556	0.214012	0.668808	2.06432	0.499467	22.9393	0.474355	0.684463	0.532096	0.754089	5.1157	8.47097	23.157	1.15363	0.390637	21.0488	21.5203
LOC111099033	9.11144	15.9892	7.34963	2.90839	1.98502	6.92205	6.5302	17.8469	1.17433	0	1.66848	2.90876	0.770006	0.952892	22.9192	3.93557	22.5627	1.36042	7.04425	5.23432	13.354	17.5681	0	10.7468	24.962	14.3135
LOC111099034	7.23797	2.5876	1.31272	12.4383	0.756642	13.5301	4.19208	10.5999	16.72	2.50312	0.269098	13.0274	3.97522	3.86733	5.46203	6.68929	2.18117	0.768955	3.59714	0.759024	11.3838	9.03026	0	5.42263	10.4053	12.6766
LOC111099035	0	20.5272	4.08104	0	7.55946	0	4.43588	0	0	7.4234	19.56988	20.3532	0	0	0	17.23762	0.367184	0	18.70926	0	0	10.63334	17.00562	25.7832	0	0
LOC111099036	5.26692	18.34312	14.1711	5.8742	4.97087	17.5857	7.1123	26.2733	3.494995	0.279995	1.99011	7.25861	7.68466	6.03962	15.2497	3.300364	4.7932	6.10163	3.96604	3.53922000670709	2.2039458	14.9254	2.78375	1.4952	15.2723	6.23178
LOC111099037	38.6402	38.7923	0.602252	0.270017	0.953646	39.7146	2.05807	28.236	0.430087	0.273228	0.719875	0.449998	2.17837	1.12082	34.588	1.32973	2.43115	0.477041	1.40833	91.3817	65.1533	36.2389	1.0347	0.219077	36.5304	38.4357
LOC111099039	34.0089	31.8538	5.09594	0	0.118354	18.8635	2.55342	33.1495	0.17792	0.169575	0.446875	1.11769	1.97297	0.557483	37.9998	0.330217	3.33886	0.739468	1.57151	2.86685	7.82252	32.7974	0.802714	0	30.4083	36.6967
LOC111099040	52.8822861905077	53.43939847937391	63.46327599999999	13.7588368487	10.1428900215714	44.61614979762	55.083985	42.60369599151915	12.623346530000001	9.28846497	11.4071603235	23.162564	37.805557172626	47.74572400333896	46.30455574	23.70432166263219	52.9487120231965	16.5307586	23.382990791785396	29.067695999999998	36.87796270999999	47.047733582582	25.44724124533346	18.0381982766719	50.10684938986552	61.72199299468631
LOC111099041	10.15298	8.87304	0.254446	2.57616	7.6696	9.3074	4.37658	0	8.69984	11.85514	4.51082	2.28748	0.285322	10.0273	20.4392	0	37.9944	3.71642	4.0643	8.35232	0.331418	7.36578	3.1156	0.775338	8.53808	16.2588
LOC111099043	30.8376	37.718	1.837472	0.25877	0.402746	38.933	2.88072	24.7006	1.100866	0.6291	0.598258	1.092296	1.880344	2.35516	33.5382	1.427704	6.21986	0.688168	2.71034	5.01368	14.20938	36.0754	0.843812	0.670872	33.8614	36.3204
LOC111099044	21.9514	23.9765	3.9804	0.738474	0.694076	30.5682	3.20646	25.0477	2.08671	1.24358	1.31144	1.36779	5.20747	2.05259	23.5824	1.21173	2.10384	1.29855	1.7878	2.12617	10.2427	25.6462	1.17727	0.600339	16.6229	21.4152
LOC111099045	11.71949	14.7481821	12.70609	150.2853	55.802299999999995	21.22879	26.944519999999997	26.563499999999998	55.124399999999994	57.716100000000004	76.0736	33.2338	23.9346	17.810299999999998	34.349199999999996	41.46895	0.690686	54.252900000000004	57.592299999999994	17.31479	13.798100000000002	22.162419999999997	87.3445	87.2438	22.344299999999997	12.1966
LOC111099046	16.374693	8.60497	1.70978	0.818077	0	2.77274	0.700888	6.419389716	0	0	0.271224	0	0.869689	1.063801	0	0.389604	0.486367	0	0.542789	0	1.56473	13.17213	0.42304	0.143442	5.01879	5.895283
LOC111099047	19.96108755967	10.28252775747	41.64167	18.379452564719998	24.56692307907	14.7759	15.47269990484	12.978508286719997	21.06534326261	23.41395	16.86846212248	12.480630000000001	19.37028363412	24.8079	10.354643557632002	28.173047854239996	22.23141791035	34.702940013144925	13.19352	6.69309	14.57244	16.1557	10.05	13.6906	22.015084120700003	10.91734327005
LOC111099048	39.0748	1.82693	0.867306	0	0.526159	22.506	0.925313	29.7028	0.508426	0.16167	0.568545	0	0.72556	1.33943	47.9284	1.41879	0.710735	1.56427	0	5.1219	6.44237	23.3947	0	0.782239	24.0025	28.0419
LOC111099049	40.3135	48.0612	1.359934	4.19185	0.555123	68.0639	2.09586	50.1231	0.682443	0	0.286184	1.5590359999999999	159.51094999999998	1.7416099999999999	66.279	0.952228	2.62059	2.03582	3.2521899999999997	5.20347	17.117820000000002	61.2222	1.81575	1.05006	57.2876	52.480599999999995
LOC111099050	30.1769	22.2814	22.8407	15.8476	22.0946	30.8385	26.8344	38.1215	19.0073	20.8861	18.0233	23.6049	23.3127	14.8191	24.3975	19.536	27.834	19.9035	21.2896	10.9898	18.7506	30.0556	15.5309	16.0773	26.0537	26.5615
LOC111099052	16.934	11.3542	8.71565	3.51156	3.81174	23.1025	7.44142	25.7	1.52353	2.4925	1.85782	6.43807	0	6.93888	5.14966	4.13864	5.40087	11.1804	6.34836	8.12954	11.5189	7.40261	1.00424	4.14559	19.3179	16.5594
LOC111099053	25.6558	27.4739	144.935	124.402	272.452	28.4281	129.859	26.3091	190.553	217.057	136.893	135.985	192.002	136.862	22.0173	223.722	161.855	334.24	154.881	33.4466	51.9415	27.3311	108.045	132.975	28.0166	23.2995
LOC111099054	17.2112	18.6613	0.767127	0.322987	3.5	25.4087	7.5084	15.7243	2.0589	0.435922	0.0956958	0.837264	2.49778	1.24993	20.3971	2.22705	2.65165	2.39184	2.3616	3.80594	9.34896	17.0293	0.412712	0.523859	21.0824	20.1726
LOC111099055	15.2064	17.1427	0.131401	0.513908	0.342239	23.0477	1.3214	14.3946	0	0	0.112906	0.264436	1.33677	0.668754	19.7191	0.200152	2.00562	0.22519	1.27378	3.72934	11.4254	19.2072	0.767248	0.0411388	19.7714	18.4379
LOC111099056	4.73766	14.42088	8.357880000000002	9.67422	3.19353	10.32972	7.72578	17.02512	1.726983	12.541889999999999	6.66786	10.36575	3.2916600000000003	3.7646999999999995	6.2097	5.05827	3.00123	1.537608	2.674191	2.6795489999999997	5.0334	21.05649	7.463939999999999	9.562380000000001	16.50399	13.15359
LOC111099057	24.2359	15.2688	0	0	2.73056	32.2628	0.786495	37.9063	0	0	1.43671	1.44223	1.46663	1.22788	27.0039	0.956627	1.73894	0.42338	1.49626	3.60886	13.3907	0	2.31834	1.38935	2.8045	28.9571
