lnc_id	n_targets
rna-XR_002638603.1	101
rna-XR_002637932.1	85
rna-XR_002638054.1	82
rna-XR_002638018.1	81
rna-XR_002636171.1	79
rna-XR_002637566.1	74
rna-XR_002637599.1	72
rna-XR_002637781.1	71
rna-XR_002637013.1	70
rna-XR_002638437.1	70
rna-XR_002637631.1	69
rna-XR_002637632.1	69
rna-XR_002637630.1	69
rna-XR_002637627.1	69
rna-XR_002638510.1	68
rna-XR_002637629.1	67
rna-XR_002639955.1	67
rna-XR_002637986.1	63
rna-XR_002635604.1	60
rna-XR_002634672.1	58
rna-XR_002637234.1	57
rna-XR_002639821.1	56
rna-XR_002633644.1	56
rna-XR_002639960.1	56
rna-XR_002634039.1	55
rna-XR_002637642.1	55
rna-XR_002633653.1	55
rna-XR_002635624.1	55
rna-XR_002639932.1	54
rna-XR_002633777.1	54
rna-XR_002634501.1	54
rna-XR_002635042.1	53
rna-XR_002639012.1	53
rna-XR_002633811.1	52
rna-XR_002637929.1	52
rna-XR_002634637.1	51
rna-XR_002636572.1	50
rna-XR_002633930.1	50
rna-XR_002635220.1	50
rna-XR_002637799.1	49
rna-XR_002639515.1	49
rna-XR_002634961.1	49
rna-XR_002635969.1	49
rna-XR_002639154.1	49
rna-XR_002635451.1	49
rna-XR_002639161.1	49
rna-XR_002639289.1	49
rna-XR_002639952.1	48
rna-XR_002636102.1	48
rna-XR_002638772.1	48
rna-XR_002638965.1	48
rna-XR_002635072.1	48
rna-XR_002635213.1	48
rna-XR_002639354.1	48
rna-XR_002636741.1	47
rna-XR_002635323.1	47
rna-XR_002635603.1	47
rna-XR_002639912.1	47
rna-XR_002639231.1	47
rna-XR_002639492.1	47
rna-XR_002639172.1	47
rna-XR_002634392.1	47
rna-XR_002635109.1	47
rna-XR_002636155.1	47
rna-XR_002639493.1	47
rna-XR_002637967.1	47
rna-XR_002638681.1	46
rna-XR_002634532.1	46
rna-XR_002638682.1	46
rna-XR_002638947.1	46
rna-XR_002636184.1	46
rna-XR_002634584.1	46
rna-XR_002635053.1	46
rna-XR_002636189.1	46
rna-XR_002634447.1	46
rna-XR_002639596.1	46
rna-XR_002634829.1	46
rna-XR_002638948.1	46
rna-XR_002634585.1	46
rna-XR_002639637.1	45
rna-XR_002639080.1	45
rna-XR_002639081.1	45
rna-XR_002639806.1	45
rna-XR_002636303.1	45
rna-XR_002637887.1	45
rna-XR_002639293.1	45
rna-XR_002634972.1	45
rna-XR_002639078.1	45
rna-XR_002639554.1	45
rna-XR_002634126.1	45
rna-XR_002639696.1	45
rna-XR_002640025.1	45
rna-XR_002638514.1	45
rna-XR_002636900.1	45
rna-XR_002634606.1	45
rna-XR_002639079.1	45
rna-XR_002638482.1	45
rna-XR_002639082.1	45
rna-XR_002636025.1	45
rna-XR_002639930.1	45
rna-XR_002639359.1	44
rna-XR_002639394.1	44
rna-XR_002636808.1	44
rna-XR_002634042.1	44
rna-XR_002640016.1	44
rna-XR_002635589.1	44
rna-XR_002638961.1	44
rna-XR_002633791.1	44
rna-XR_002638369.1	44
rna-XR_002636224.1	44
rna-XR_002635188.1	44
rna-XR_002635588.1	44
rna-XR_002635004.1	43
rna-XR_002638285.1	43
rna-XR_002635787.1	43
rna-XR_002639089.1	43
rna-XR_002635006.1	43
rna-XR_002639308.1	43
rna-XR_002635107.1	43
rna-XR_002639531.1	43
rna-XR_002637286.1	43
rna-XR_002638601.1	43
rna-XR_002638703.1	43
rna-XR_002636761.1	43
rna-XR_002639868.1	43
rna-XR_002637496.1	43
