lnc_id	mrna_id	r	p_value	FDR	cluster_label	component_id
rna-XR_002639096.1	LOC111106094	0.99273770980829	1.36935867571967e-23	8.332870964884672e-18	B	3
rna-XR_002638201.1	LOC111106094	0.9924773017132436	2.087092718966461e-23	1.068573031121931e-17	B	3
rna-XR_002639293.1	LOC111106094	0.9921840622378574	3.297481815477494e-23	1.5077265304684045e-17	B	3
rna-XR_002639806.1	LOC111106094	0.9921497703721707	3.4747355587332814e-23	1.5464913896766307e-17	B	3
rna-XR_002639096.1	LOC111121580	0.9921058557039307	3.714471243567171e-23	1.6022609806142087e-17	B	3
rna-XR_002635107.1	LOC111106094	0.9911797898331903	1.399375228700842e-22	5.2743927386867686e-17	B	3
rna-XR_002634071.1	LOC111106094	0.9908298610298487	2.228042202145604e-22	7.86622426785821e-17	B	3
rna-XR_002637655.1	LOC111106094	0.9905020512717992	3.3903500050360255e-22	1.1124887096877847e-16	B	3
rna-XR_002636704.1	LOC111106094	0.9903518473108583	4.0896311178636024e-22	1.296198358729074e-16	B	3
rna-XR_002637902.1	LOC111106094	0.9901422870009138	5.28693706893227e-22	1.5855910841470551e-16	B	3
rna-XR_002639859.1	LOC111106094	0.9900959832509403	5.591443787410012e-22	1.659075355566935e-16	B	3
