cluster_label	n_pairs	n_lncRNAs	n_mRNAs	lncRNAs	mRNAs
A	67	1	67	rna-XR_002638603.1	LOC111100708; LOC111101025; LOC111101507; LOC111101860; LOC111102811; LOC111107343; LOC111111438; LOC111114067; LOC111114778; LOC111115985; LOC111118104; LOC111118126; LOC111118248; LOC111118348; LOC111118510; LOC111119059; LOC111119195; LOC111119359; LOC111119826; LOC111119917; LOC111120067; LOC111120557; LOC111120619; LOC111120879; LOC111120912; LOC111121601; LOC111122600; LOC111122819; LOC111123867; LOC111124874; LOC111125240; LOC111125367; LOC111125548; LOC111126040; LOC111126109; LOC111126128; LOC111126281; LOC111126579; LOC111126614; LOC111126883; LOC111127225; LOC111127289; LOC111127437; LOC111128009; LOC111128116; LOC111128139; LOC111128580; LOC111129410; LOC111130625; LOC111131116; LOC111131216; LOC111132297; LOC111132903; LOC111133751; LOC111134500; LOC111135077; LOC111135345; LOC111135849; LOC111136247; LOC111136425; LOC111136621; LOC111136624; LOC111136666; LOC111137089; LOC111137591; LOC111137903; LOC111138187
B	11	10	2	rna-XR_002634071.1; rna-XR_002635107.1; rna-XR_002636704.1; rna-XR_002637655.1; rna-XR_002637902.1; rna-XR_002638201.1; rna-XR_002639096.1; rna-XR_002639293.1; rna-XR_002639806.1; rna-XR_002639859.1	LOC111106094; LOC111121580
C	6	4	3	rna-XR_002634663.1; rna-XR_002639492.1; rna-XR_002639493.1; rna-XR_002639932.1	LOC111112351; LOC111122679; LOC111132345
D	2	1	2	rna-XR_002637932.1	LOC111117675; LOC111125552
E	2	1	2	rna-XR_002636929.1	LOC111105683; LOC111111320
F	1	1	1	rna-XR_002639203.1	LOC111132611
G	1	1	1	rna-XR_002638705.1	LOC111104812
H	1	1	1	rna-XR_002639396.1	LOC111128774
I	1	1	1	rna-XR_002635188.1	LOC111132218
J	1	1	1	rna-XR_002636025.1	LOC111103610
K	1	1	1	rna-XR_002635159.1	LOC111107804
L	1	1	1	rna-XR_002637564.1	LOC111112867
