ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	ONTOLOGY
GO:0050982	detection of mechanical stimulus	9/605	13/8638	2.1224662005648493e-8	6.431072587711493e-6	5.853538363663058e-6	111120814/111120616/111130991/111120020/111122130/111120526/111124239/111136861/111129479	9	Process
GO:0005262	calcium channel activity	10/605	20/8638	2.565913925968826e-7	3.887359597842771e-5	3.5382602558096444e-5	111120814/111118817/111120616/111130991/111120020/111122130/111120526/111124239/111136861/111129479	10	Function
GO:0005839	proteasome core complex	7/605	12/8638	4.639866688913768e-6	4.6862653558029055e-4	4.265421307001429e-4	111130431/111127912/111133428/111120999/111133546/111125779/111116995	7	Component
GO:0004930	G protein-coupled receptor activity	18/605	86/8638	2.161876206191547e-5	0.0013643800277251428	0.0012418536295431212	111122679/111119301/111108340/111118229/111130027/111119607/111108361/111136077/111136907/111135820/111103890/111131418/111125503/111112251/111124167/111136228/111134720/111137631	18	Function
GO:0015074	DNA integration	15/605	64/8638	2.560493104890127e-5	0.0013643800277251428	0.0012418536295431212	111106598/111108887/111113572/111131279/111103882/111114158/111108093/111113421/111105423/111106351/111128597/111112950/111112956/111130587/111102962	15	Process
GO:0007156	homophilic cell-cell adhesion	14/605	57/8638	2.7017426291586987e-5	0.0013643800277251428	0.0012418536295431212	111107536/111133868/111108340/111124111/111100985/111125275/111125408/111119697/111132126/111100796/111125405/111122406/111122270/111132368	14	Process
GO:0007186	G protein-coupled receptor signaling pathway	19/605	100/8638	5.351433546616353e-5	0.0023164062351782215	0.002108384344681932	111122679/111119301/111108340/111118229/111130027/111119607/111108361/111111606/111136077/111135820/111103890/111131418/111100148/111125503/111112251/111124167/111136228/111134720/111137631	19	Process
GO:0030527	structural constituent of chromatin	8/605	23/8638	1.0550444974115275e-4	0.00399598103394616	0.0036371270831818446	111119173/111128950/111119123/111126163/111121835/111128951/111119174/111121652	8	Function
GO:0000786	nucleosome	8/605	25/8638	2.0531523516988538e-4	0.006642215624044057	0.006045719970469143	111119173/111128950/111119123/111126163/111121835/111128951/111119174/111121652	8	Component
GO:0003723	RNA binding	39/605	309/8638	2.192150370971636e-4	0.006642215624044057	0.006045719970469143	111119997/111118729/111122102/111122502/111136085/111107488/111105429/111137770/111108729/111136666/111136413/111119195/111120566/111129496/111135345/111138363/111136764/111135550/111118510/111118539/111118274/111134561/111134422/111138235/111105526/111136624/111126771/111136320/111125367/111135061/111134501/111136522/111124589/111126885/111122210/111123818/111133985/111128988/111129853	39	Function
GO:0005509	calcium ion binding	35/605	281/8638	5.850187877324736e-4	0.016114608425721773	0.014667456687646708	111107536/111120814/111107775/111120646/111108603/111133868/111135463/111125720/111108340/111128763/111123554/111128690/111130991/111101969/111122130/111124111/111101736/111100985/111108489/111125275/111135878/111120526/111133751/111128999/111125408/111119697/111132126/111119770/111134787/111129479/111125405/111128063/111122406/111122270/111123836	35	Function
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	5/605	12/8638	8.675937319719387e-4	0.021906741732291454	0.01993943489268842	111105683/111105682/111136907/111106215/111119302	5	Process
GO:0003729	mRNA binding	13/605	73/8638	0.001488884137928991	0.03470245336865263	0.03158604405970815	111129820/111136440/111131007/111135552/111120648/111136118/111132362/111129197/111133022/111121745/111120525/111120873/111099053	13	Function
