ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	lnc_id
GO:0003735	structural constituent of ribosome	83/2905	106/8638	3.058330069882623e-21	1.4496484531243633e-18	1.2780600397298962e-18	111117002/111124595/111120952/111128024/111136579/111137581/111126406/111135100/111133190/111123203/111121303/111137692/111136890/111128646/111136789/111128022/111128321/111134635/111136749/111108088/111120981/111119453/111137006/111119576/111104145/111135345/111118510/111131333/111137903/111101507/111136624/111126614/111125796/111120067/111122600/111129410/111127769/111118248/111126040/111119826/111101860/111121848/111118126/111114067/111119040/111136247/111136425/111130939/111134500/111130094/111128009/111132903/111137591/111126128/111132297/111120557/111122819/111111438/111125240/111126471/111136522/111131216/111126648/111100708/111127437/111120619/111137089/111124261/111128580/111125548/111118348/111124874/111120994/111135849/111121601/111114718/111119359/111135077/111119071/111104388/111118104/111126281/111123463	83	rna-XR_002638067.1
GO:0005840	ribosome	67/2905	82/8638	3.1296258288595413e-19	7.417213214397113e-17	6.539270810827569e-17	111128024/111137581/111126406/111133190/111121303/111137692/111128646/111136789/111128022/111134635/111108088/111120981/111137006/111104145/111118510/111131333/111137903/111101507/111136624/111126614/111125796/111120067/111122600/111129410/111127769/111118248/111126040/111119826/111101860/111121848/111114067/111119040/111136247/111136425/111130939/111130094/111128009/111132903/111126128/111132297/111120557/111122819/111111438/111125240/111126471/111136522/111131216/111126648/111100708/111127437/111120619/111137089/111124261/111128580/111118348/111124874/111120994/111135849/111121601/111114718/111119359/111135077/111119071/111104388/111118104/111126281/111123463	67	rna-XR_002638067.1
GO:0006412	translation	63/2905	82/8638	1.0598330245980812e-15	1.6745361788649683e-13	1.4763288097032924e-13	111117002/111120952/111128024/111118962/111136579/111137581/111126406/111123203/111121303/111137692/111128646/111128022/111121432/111108088/111120981/111137006/111119576/111104145/111118510/111131333/111101507/111126614/111125796/111120067/111122600/111129410/111127769/111118248/111126040/111119826/111101860/111121848/111118126/111114067/111119040/111136425/111130094/111128009/111132903/111126128/111120557/111122819/111111438/111125240/111126471/111136522/111131216/111100708/111127437/111120619/111128580/111125548/111118348/111124874/111120994/111135849/111121601/111119359/111135077/111119071/111104388/111118104/111126281	63	rna-XR_002638067.1
GO:0003723	RNA binding	165/2905	309/8638	2.8217796966024255e-13	3.343808940473874e-11	2.948017209345166e-11	111120566/111135061/111133985/111125723/111121165/111134501/111138363/111120299/111120515/111124615/111136764/111121650/111129496/111135550/111108729/111108450/111108747/111136820/111118049/111107879/111103325/111120863/111122502/111136085/111119203/111129853/111135964/111134942/111123818/111130413/111135802/111126107/111136886/111136413/111113059/111102762/111136320/111119023/111103914/111116966/111120664/111107488/111135353/111134422/111120897/111118362/111126333/111118274/111130987/111111061/111136530/111121238/111122102/111136823/111119781/111100616/111119116/111118539/111128988/111118013/111134658/111122389/111128022/111118083/111124525/111126771/111138157/111112550/111105429/111101447/111105199/111124589/111134561/111100584/111134200/111130565/111129627/111125750/111137770/111118710/111122210/111136875/111122308/111125533/111119055/111136563/111105526/111135391/111136408/111120828/111136635/111130461/111132033/111104145/111131690/111130503/111130886/111125036/111123381/111118356/111119195/111108479/111137215/111122996/111131771/111134707/111119664/111136911/111133148/111137577/111135345/111117964/111110009/111118510/111118216/111136666/111138235/111134482/111137079/111136624/111135736/111115153/111135640/111126280/111099104/111131610/111131784/111100406/111100592/111125367/111138309/111107584/111137477/111119040/111136247/111136425/111137383/111134500/111129524/111137591/111132297/111126471/111136522/111120024/111120619/111137089/111128580/111125548/111118729/111126802/111135336/111100426/111124874/111108358/111120994/111135849/111121601/111135374/111127387/111104388/111119402/111126281/111131106/111126885/111137181	165	rna-XR_002638067.1
GO:0000398	mRNA splicing, via spliceosome	42/2905	52/8638	3.3772448588565217e-12	3.2016281261959825e-10	2.822665703086398e-10	111138363/111126498/111124615/111125937/111130416/111118194/111108450/111131787/111122502/111126107/111100835/111136320/111103914/111126390/111106010/111125980/111126234/111111061/111122783/111121238/111135499/111124816/111138391/111122650/111125533/111119055/111136408/111103801/111125036/111108192/111118582/111119018/111103496/111131012/111119918/111124636/111129301/111137745/111120130/111133954/111138463/111122436	42	rna-XR_002638067.1
GO:0003729	mRNA binding	53/2905	73/8638	9.719401564028859e-12	7.678327235582799e-10	6.769477931437644e-10	111134475/111099571/111119682/111135552/111132362/111100585/111136440/111120648/111120873/111129820/111128793/111135555/111136418/111126731/111137997/111137076/111121303/111137692/111129197/111101262/111135433/111101129/111131007/111134449/111122645/111133022/111124560/111120794/111122023/111099053/111104062/111125077/111136118/111137332/111137796/111103429/111121745/111134216/111120525/111119018/111103496/111136733/111128721/111120541/111129301/111102803/111125240/111134728/111127437/111133033/111100273/111122436/111100788	53	rna-XR_002638067.1
GO:0022625	cytosolic large ribosomal subunit	20/2905	20/8638	3.2790650503505183e-10	2.2203954769516363e-8	1.957577180434821e-8	111135345/111137903/111101507/111126614/111120067/111136247/111134500/111132297/111127437/111120619/111137089/111124261/111124874/111120994/111135849/111121601/111114718/111119071/111118104/111123463	20	rna-XR_002638067.1
GO:0003743	translation initiation factor activity	29/2905	34/8638	6.812366342017591e-10	4.036327057645423e-8	3.558565049711821e-8	111131638/111128159/111118049/111135733/111119023/111100612/111124673/111137076/111130987/111131036/111101262/111103926/111105429/111133022/111124589/111118029/111122210/111099053/111125652/111121263/111138196/111122026/111120521/111117966/111134216/111130699/111121019/111134482/111133033	29	rna-XR_002638067.1
GO:0042393	histone binding	25/2905	31/8638	9.923040357149428e-8	5.226134588098698e-6	4.607540376360613e-6	111120233/111112761/111124177/111122941/111125315/111121456/111127729/111127274/111135445/111100190/111132857/111119597/111108512/111130869/111134305/111136968/111101447/111136148/111136084/111128966/111126609/111122838/111120910/111138046/111134594	25	rna-XR_002638067.1
GO:0003682	chromatin binding	40/2905	62/8638	6.042121814324395e-7	2.8639657399897633e-5	2.524970905565037e-5	111133682/111120233/111119382/111125229/111123912/111128754/111130888/111125248/111126926/111123344/111135445/111117840/111136050/111136917/111135789/111136471/111123852/111132030/111137179/111131379/111118300/111101447/111134735/111136284/111137485/111136084/111111493/111105869/111128966/111129021/111105716/111121771/111131498/111120511/111130564/111129838/111136120/111129195/111136415/111124549	40	rna-XR_002638067.1
GO:0006260	DNA replication	25/2905	33/8638	8.64892899567019e-7	3.726902130861518e-5	3.285765369646953e-5	111131693/111131721/111130346/111135726/111126776/111135545/111136042/111119248/111134654/111135402/111120888/111124297/111131379/111137485/111137518/111130057/111134622/111130645/111136551/111125562/111108624/111108767/111104167/111115333/111138461	25	rna-XR_002638067.1
GO:0071013	catalytic step 2 spliceosome	23/2905	30/8638	1.6849307724825455e-6	6.655476551306055e-5	5.867697514697988e-5	111120984/111134501/111138363/111108450/111136320/111126234/111102673/111111061/111136823/111120267/111135499/111123045/111136408/111125036/111108192/111130363/111119018/111103496/111129948/111135640/111133954/111126802/111099063	23	rna-XR_002638067.1
