mrna_id	n_lncRNAs	GeneID	Symbol	description	type_of_gene	match_type
LOC111107689	1525	NA	NA	NA	NA	NA
LOC111103610	1522	111103610	LOC111103610	uncharacterized LOC111103610	protein-coding	Symbol
LOC111132339	1516	111132339	LOC111132339	uncharacterized LOC111132339	protein-coding	Symbol
LOC111111320	1514	111111320	LOC111111320	heat shock 70 kDa protein 12A-like	protein-coding	Symbol
LOC111105683	1512	111105683	LOC111105683	uncharacterized LOC111105683	protein-coding	Symbol
LOC111126813	1512	111126813	LOC111126813	heat shock 70 kDa protein 12A-like	protein-coding	Symbol
LOC111127923	1510	111127923	LOC111127923	high-affinity choline transporter 1-like	protein-coding	Symbol
LOC111106094	1508	NA	NA	NA	NA	NA
LOC111122566	1507	111122566	LOC111122566	protein O-mannosyl-transferase TMTC1-like	protein-coding	Symbol
LOC111132218	1506	111132218	LOC111132218	uncharacterized LOC111132218	protein-coding	Symbol
LOC111132345	1506	NA	NA	NA	NA	NA
LOC111109495	1504	NA	NA	NA	NA	NA
LOC111111792	1503	NA	NA	NA	NA	NA
LOC111112351	1501	NA	NA	NA	NA	NA
LOC111119012	1501	111119012	LOC111119012	scavenger receptor cysteine-rich domain-containing protein DMBT1-like	protein-coding	Symbol
LOC111120185	1501	NA	NA	NA	NA	NA
LOC111120747	1501	111120747	LOC111120747	transient receptor potential cation channel subfamily A member 1-like	protein-coding	Symbol
LOC111122921	1501	111122921	LOC111122921	uncharacterized LOC111122921	protein-coding	Symbol
LOC111132884	1500	111132884	LOC111132884	chordin-like	protein-coding	Symbol
LOC111104812	1499	111104812	LOC111104812	uncharacterized LOC111104812	protein-coding	Symbol
LOC111124328	1499	NA	NA	NA	NA	NA
LOC111120620	1498	111120620	LOC111120620	glutamate receptor ionotropic, NMDA 2B-like	protein-coding	Symbol
LOC111109230	1496	NA	NA	NA	NA	NA
LOC111110575	1496	NA	NA	NA	NA	NA
LOC111122679	1496	111122679	LOC111122679	uncharacterized LOC111122679	protein-coding	Symbol
LOC111128601	1495	NA	NA	NA	NA	NA
LOC111111289	1494	NA	NA	NA	NA	NA
LOC111132623	1494	111132623	LOC111132623	inositol 1,4,5-trisphosphate-gated calcium channel ITPR2-like	protein-coding	Symbol
LOC111136947	1494	111136947	LOC111136947	neuroligin-4, X-linked-like	protein-coding	Symbol
LOC111129560	1493	NA	NA	NA	NA	NA
LOC111118716	1491	NA	NA	NA	NA	NA
LOC111120136	1491	111120136	LOC111120136	contactin-3-like	protein-coding	Symbol
LOC111121580	1491	111121580	LOC111121580	uncharacterized LOC111121580	protein-coding	Symbol
LOC111123036	1491	NA	NA	NA	NA	NA
LOC111132789	1491	111132789	LOC111132789	uncharacterized LOC111132789	protein-coding	Symbol
LOC111109298	1490	NA	NA	NA	NA	NA
LOC111109370	1489	NA	NA	NA	NA	NA
LOC111128657	1489	111128657	LOC111128657	uncharacterized LOC111128657	protein-coding	Symbol
LOC111128732	1488	111128732	LOC111128732	uncharacterized LOC111128732	protein-coding	Symbol
LOC111107536	1486	111107536	LOC111107536	cadherin EGF LAG seven-pass G-type receptor 2-like	protein-coding	Symbol
LOC111122586	1484	111122586	LOC111122586	uncharacterized LOC111122586	ncRNA	Symbol
LOC111122089	1483	111122089	LOC111122089	cell surface hyaluronidase-like	protein-coding	Symbol
LOC111128774	1483	111128774	LOC111128774	cell surface hyaluronidase CEMIP2-like	protein-coding	Symbol
LOC111120814	1481	111120814	LOC111120814	uncharacterized LOC111120814	protein-coding	Symbol
LOC111109007	1480	NA	NA	NA	NA	NA
LOC111136699	1480	111136699	LOC111136699	neuroligin-4, Y-linked-like	protein-coding	Symbol
LOC111130434	1479	111130434	LOC111130434	voltage-gated delayed rectifier potassium channel KCNH1-like	protein-coding	Symbol
LOC111108808	1477	111108808	LOC111108808	toll-like receptor 1	protein-coding	Symbol
LOC111136116	1477	111136116	LOC111136116	uncharacterized LOC111136116	protein-coding	Symbol
LOC111122008	1476	111122008	LOC111122008	short transient receptor potential channel 7-like	protein-coding	Symbol
LOC111103774	1475	NA	NA	NA	NA	NA
LOC111107775	1475	111107775	LOC111107775	uncharacterized LOC111107775	protein-coding	Symbol
LOC111118062	1475	NA	NA	NA	NA	NA
LOC111125683	1474	NA	NA	NA	NA	NA
LOC111120646	1473	111120646	LOC111120646	cilia- and flagella-associated protein 337-like	protein-coding	Symbol
LOC111112478	1472	111112478	LOC111112478	uncharacterized LOC111112478	protein-coding	Symbol
LOC111113791	1472	NA	NA	NA	NA	NA
LOC111127840	1471	111127840	LOC111127840	uncharacterized LOC111127840	protein-coding	Symbol
LOC111113324	1470	111113324	LOC111113324	uncharacterized LOC111113324	protein-coding	Symbol
LOC111107264	1469	111107264	LOC111107264	uncharacterized LOC111107264	protein-coding	Symbol
LOC111110495	1469	111110495	LOC111110495	beta-1,3-galactosyltransferase 5-like	protein-coding	Symbol
LOC111115753	1469	NA	NA	NA	NA	NA
LOC111121950	1469	NA	NA	NA	NA	NA
LOC111123717	1469	111123717	LOC111123717	uncharacterized LOC111123717	ncRNA	Symbol
LOC111123822	1469	111123822	LOC111123822	uncharacterized LOC111123822	protein-coding	Symbol
LOC111119301	1468	111119301	LOC111119301	uncharacterized LOC111119301	protein-coding	Symbol
LOC111122138	1468	111122138	LOC111122138	delphilin-like	protein-coding	Symbol
LOC111124300	1468	111124300	LOC111124300	uncharacterized LOC111124300	protein-coding	Symbol
LOC111100025	1467	111100025	LOC111100025	A disintegrin and metalloproteinase with thrombospondin motifs 18-like	protein-coding	Symbol
LOC111133093	1467	111133093	LOC111133093	uncharacterized LOC111133093	protein-coding	Symbol
LOC111105682	1466	111105682	LOC111105682	uncharacterized LOC111105682	protein-coding	Symbol
LOC111131739	1466	111131739	LOC111131739	transmembrane protein 179B-like	protein-coding	Symbol
LOC111099418	1465	NA	NA	NA	NA	NA
LOC111108603	1464	111108603	LOC111108603	uncharacterized LOC111108603	protein-coding	Symbol
LOC111116234	1463	NA	NA	NA	NA	NA
LOC111133868	1463	111133868	LOC111133868	protocadherin-23-like	protein-coding	Symbol
LOC111109148	1462	NA	NA	NA	NA	NA
LOC111109176	1462	111109176	LOC111109176	uncharacterized LOC111109176	protein-coding	Symbol
LOC111113936	1462	NA	NA	NA	NA	NA
LOC111118817	1462	111118817	LOC111118817	uncharacterized LOC111118817	protein-coding	Symbol
LOC111135463	1462	111135463	LOC111135463	uncharacterized LOC111135463	protein-coding	Symbol
LOC111112322	1461	NA	NA	NA	NA	NA
LOC111120254	1461	NA	NA	NA	NA	NA
LOC111120448	1461	NA	NA	NA	NA	NA
LOC111124199	1461	NA	NA	NA	NA	NA
LOC111116848	1460	111116848	LOC111116848	uncharacterized LOC111116848	protein-coding	Symbol
LOC111129709	1460	111129709	LOC111129709	uncharacterized LOC111129709	protein-coding	Symbol
LOC111119542	1459	111119542	LOC111119542	uncharacterized LOC111119542	protein-coding	Symbol
LOC111105325	1458	111105325	LOC111105325	uncharacterized LOC111105325	protein-coding	Symbol
LOC111125720	1458	111125720	LOC111125720	von Willebrand factor D and EGF domain-containing protein-like	protein-coding	Symbol
LOC111128465	1458	111128465	LOC111128465	BDNF/NT-3 growth factors receptor-like	protein-coding	Symbol
LOC111131254	1458	111131254	LOC111131254	uncharacterized LOC111131254	protein-coding	Symbol
LOC111124346	1457	NA	NA	NA	NA	NA
LOC111114170	1455	111114170	LOC111114170	cubilin-like	protein-coding	Symbol
LOC111131306	1454	111131306	LOC111131306	ectonucleoside triphosphate diphosphohydrolase 1-like	protein-coding	Symbol
LOC111108341	1450	111108341	LOC111108341	uncharacterized LOC111108341	protein-coding	Symbol
LOC111120616	1450	111120616	LOC111120616	polycystin-1-like	protein-coding	Symbol
LOC111123956	1449	111123956	LOC111123956	uncharacterized LOC111123956	protein-coding	Symbol
LOC111128733	1449	111128733	LOC111128733	uncharacterized LOC111128733	protein-coding	Symbol
LOC111099151	1448	111099151	LOC111099151	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A-like	protein-coding	Symbol
LOC111134137	1448	111134137	LOC111134137	uncharacterized LOC111134137	protein-coding	Symbol
LOC111108340	1447	111108340	LOC111108340	uncharacterized LOC111108340	protein-coding	Symbol
LOC111109074	1447	NA	NA	NA	NA	NA
