mrna_id	mrna_id_clean	GeneID	Symbol	description	type_of_gene	match_type
ATP6	ATP6	NA	NA	NA	NA	NA
COX1	COX1	NA	NA	NA	NA	NA
COX2	COX2	NA	NA	NA	NA	NA
COX3	COX3	NA	NA	NA	NA	NA
CYTB	CYTB	NA	NA	NA	NA	NA
LOC111099029	LOC111099029	111099029	LOC111099029	transient receptor potential cation channel subfamily M member-like 2	protein-coding	Symbol
LOC111099030	LOC111099030	111099030	LOC111099030	uncharacterized LOC111099030	ncRNA	Symbol
LOC111099031	LOC111099031	NA	NA	NA	NA	NA
LOC111099032	LOC111099032	111099032	LOC111099032	uncharacterized LOC111099032	protein-coding	Symbol
LOC111099033	LOC111099033	NA	NA	NA	NA	NA
LOC111099034	LOC111099034	NA	NA	NA	NA	NA
LOC111099035	LOC111099035	NA	NA	NA	NA	NA
LOC111099036	LOC111099036	NA	NA	NA	NA	NA
LOC111099037	LOC111099037	111099037	LOC111099037	uncharacterized LOC111099037	protein-coding	Symbol
LOC111099039	LOC111099039	111099039	LOC111099039	uncharacterized LOC111099039	protein-coding	Symbol
LOC111099040	LOC111099040	111099040	LOC111099040	uncharacterized LOC111099040	protein-coding	Symbol
LOC111099041	LOC111099041	111099041	LOC111099041	proton-coupled folate transporter-like	protein-coding	Symbol
LOC111099043	LOC111099043	111099043	LOC111099043	uncharacterized LOC111099043	protein-coding	Symbol
LOC111099044	LOC111099044	111099044	LOC111099044	uncharacterized LOC111099044	protein-coding	Symbol
LOC111099045	LOC111099045	NA	NA	NA	NA	NA
LOC111099046	LOC111099046	111099046	LOC111099046	uncharacterized LOC111099046	protein-coding	Symbol
LOC111099047	LOC111099047	NA	NA	NA	NA	NA
LOC111099048	LOC111099048	111099048	LOC111099048	apolipoprotein D-like	protein-coding	Symbol
LOC111099049	LOC111099049	111099049	LOC111099049	uncharacterized LOC111099049	protein-coding	Symbol
LOC111099050	LOC111099050	111099050	LOC111099050	amyloid protein-binding protein 2-like	protein-coding	Symbol
LOC111099052	LOC111099052	NA	NA	NA	NA	NA
LOC111099053	LOC111099053	111099053	LOC111099053	eukaryotic translation initiation factor 2 subunit 2-like	protein-coding	Symbol
LOC111099054	LOC111099054	111099054	LOC111099054	uncharacterized LOC111099054	protein-coding	Symbol
LOC111099055	LOC111099055	NA	NA	NA	NA	NA
LOC111099056	LOC111099056	111099056	LOC111099056	tRNA (uracil-5-)-methyltransferase homolog A-like	protein-coding	Symbol
LOC111099057	LOC111099057	NA	NA	NA	NA	NA
LOC111099058	LOC111099058	111099058	LOC111099058	G-protein coupled receptor 157-like	protein-coding	Symbol
LOC111099059	LOC111099059	111099059	LOC111099059	G-protein coupled receptor 157-like	protein-coding	Symbol
LOC111099060	LOC111099060	111099060	LOC111099060	uncharacterized LOC111099060	protein-coding	Symbol
LOC111099061	LOC111099061	111099061	LOC111099061	uncharacterized LOC111099061	protein-coding	Symbol
LOC111099062	LOC111099062	NA	NA	NA	NA	NA
LOC111099063	LOC111099063	111099063	LOC111099063	RING-type E3 ubiquitin-protein ligase PPIL2-like	protein-coding	Symbol
LOC111099064	LOC111099064	111099064	LOC111099064	uridylate-specific endoribonuclease D-like	protein-coding	Symbol
LOC111099066	LOC111099066	111099066	LOC111099066	demethylmenaquinone methyltransferase-like	protein-coding	Symbol
LOC111099067	LOC111099067	111099067	LOC111099067	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3-like	protein-coding	Symbol
LOC111099068	LOC111099068	111099068	LOC111099068	protein unc-93 homolog A-like	protein-coding	Symbol
LOC111099069	LOC111099069	NA	NA	NA	NA	NA
LOC111099070	LOC111099070	111099070	LOC111099070	solute carrier family 22 member 4-like	protein-coding	Symbol
LOC111099071	LOC111099071	111099071	LOC111099071	uncharacterized LOC111099071	protein-coding	Symbol
LOC111099072	LOC111099072	111099072	LOC111099072	solute carrier family 22 member 6-A-like	protein-coding	Symbol
LOC111099073	LOC111099073	111099073	LOC111099073	BRCA1-associated protein-like	protein-coding	Symbol
LOC111099074	LOC111099074	NA	NA	NA	NA	NA
LOC111099076	LOC111099076	111099076	LOC111099076	uncharacterized LOC111099076	protein-coding	Symbol
LOC111099077	LOC111099077	111099077	LOC111099077	uncharacterized LOC111099077	protein-coding	Symbol
LOC111099078	LOC111099078	NA	NA	NA	NA	NA
LOC111099079	LOC111099079	111099079	LOC111099079	speckle targeted PIP5K1A-regulated poly(A) polymerase-like	protein-coding	Symbol
LOC111099080	LOC111099080	111099080	LOC111099080	PR domain zinc finger protein 14-like	protein-coding	Symbol
LOC111099081	LOC111099081	111099081	LOC111099081	grpE protein homolog 1, mitochondrial-like	protein-coding	Symbol
LOC111099082	LOC111099082	NA	NA	NA	NA	NA
LOC111099083	LOC111099083	NA	NA	NA	NA	NA
LOC111099084	LOC111099084	111099084	LOC111099084	uncharacterized LOC111099084	protein-coding	Symbol
LOC111099087	LOC111099087	111099087	LOC111099087	transient receptor potential cation channel subfamily M member 2-like	protein-coding	Symbol
LOC111099088	LOC111099088	111099088	LOC111099088	uncharacterized LOC111099088	protein-coding	Symbol
LOC111099090	LOC111099090	111099090	LOC111099090	uncharacterized LOC111099090	protein-coding	Symbol
LOC111099091	LOC111099091	111099091	LOC111099091	uncharacterized LOC111099091	protein-coding	Symbol
LOC111099092	LOC111099092	NA	NA	NA	NA	NA
LOC111099093	LOC111099093	111099093	LOC111099093	cilia- and flagella-associated protein 263-like	protein-coding	Symbol
LOC111099095	LOC111099095	111099095	LOC111099095	uncharacterized LOC111099095	protein-coding	Symbol
LOC111099096	LOC111099096	111099096	LOC111099096	cysteine-rich venom protein latisemin-like	protein-coding	Symbol
LOC111099097	LOC111099097	NA	NA	NA	NA	NA
LOC111099098	LOC111099098	111099098	LOC111099098	uncharacterized LOC111099098	protein-coding	Symbol
LOC111099099	LOC111099099	111099099	LOC111099099	G-protein coupled receptor dmsr-1-like	protein-coding	Symbol
LOC111099101	LOC111099101	111099101	LOC111099101	serine/threonine-protein kinase unc-51-like	protein-coding	Symbol
LOC111099102	LOC111099102	111099102	LOC111099102	protein FAM76A-like	protein-coding	Symbol
LOC111099103	LOC111099103	111099103	LOC111099103	sodium- and chloride-dependent glycine transporter 1-like	protein-coding	Symbol
LOC111099104	LOC111099104	111099104	LOC111099104	uncharacterized LOC111099104	protein-coding	Symbol
LOC111099105	LOC111099105	111099105	LOC111099105	beta-1,3-glucosyltransferase-like	protein-coding	Symbol
LOC111099106	LOC111099106	111099106	LOC111099106	exonuclease V-like	protein-coding	Symbol
LOC111099107	LOC111099107	111099107	LOC111099107	uncharacterized LOC111099107	protein-coding	Symbol
LOC111099108	LOC111099108	111099108	LOC111099108	uncharacterized LOC111099108	protein-coding	Symbol
LOC111099109	LOC111099109	111099109	LOC111099109	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog	protein-coding	Symbol
LOC111099110	LOC111099110	111099110	LOC111099110	dual specificity protein phosphatase 3-like	protein-coding	Symbol
LOC111099111	LOC111099111	111099111	LOC111099111	refilin-B-like	protein-coding	Symbol
LOC111099112	LOC111099112	111099112	LOC111099112	CBY1-interacting BAR domain-containing protein 2-like	protein-coding	Symbol
LOC111099115	LOC111099115	111099115	LOC111099115	GPI-anchor transamidase component PIGT-like	protein-coding	Symbol
