S16F	S19F	S22F	S29F	S35F	S36F	S39F	S3F	S41F	S44F	S50F	S52F	S53F	S54F	S76F	S77F
rna-XR_002636969.1	6.07477	0	7.84348	0	0	3.60649	0	0	3.64357	0	11.6703	7.78315	0	8.45579	3.42259	16.2001
rna-XR_002635081.1	5	4	21	14	25	70	3	28	24	24	18	15	32	26	32	15
rna-XR_002636046.1	2741.33	263.967	548.445	1873.76	449.289	555.687	930.036	776.716	653.182	1073.04	428.367	1318.35	694.817	655.952	334.635	517.831
rna-XR_002638148.1	39	14	43	48	19	41	12	22	52	70	35	37	26	61	27	31
rna-XR_002639675.1	82	91	126	497	79	121	79	133	258	323	109	597	139	287	179	101
rna-XR_002636574.1	23.3404	18.1134	30.6	107.05	19.2367	37.2674	19.1051	31.5713	93.935	69.6966	22.2334	94.6737	35.561	82.4793	69.9337	29.5146
rna-XR_002636864.1	24.3852	500.641	837.599	755.188	6.47661	108.452	14.2505	536.757	441.985	685.774	242.96	458.977	693.238	955.198	879.48	71.1573
rna-XR_002636863.1	495.685	49.4205	77.589	521.951	396.942	590.993	638.296	56.6437	474.766	65.5975	426.962	850.582	62.5676	82.5911	118.985	599.406
rna-XR_002635698.1	73	17	24	66	31	20	24	23	44	71	15	2016	27	80	38	24
rna-XR_002637875.1	5.31903	6.96732	10.4969	8.71207	3.98861	5.76149	12.6194	6.12595	3.91177	19.0501	8.95953	19.5244	8.00758	17.3418	13.4222	1.30076
rna-XR_002639757.1	39	8	0	17	4	15	5	4	17	30	5	62	13	25	21	10
rna-XR_002637404.1	0	16.9922	48.9472	0.0091103	21.9378	0	0	0.0158573	5.14e-05	1.02e-08	0.000377071	58.2366	0	44.9133	0	0
rna-XR_002637403.1	73.0676	27.009	81.0578	151.044	54.067	126.01	53	50.9881	107.23	142.025	49.0064	53.9586	256.009	81.1217	121.031	95
rna-XR_002638411.1	0	0	0	15.5026	3.08036	0	0	11.003	12.3679	9.21882	9.24954	6.14459	3.09929	18.5771	6.16483	20.9499
rna-XR_002638407.1	27.1254	2.06199	2.05916	3.01568	0.36494	3.01007	4.57964	0	0.0996247	11.0079	2.18831	1.20448	2.26703	1.18381	2.5445	0
rna-XR_002639131.1	33.5848	1	2	5	0	1	1	1	2	6	3	8	1	2	3	2
rna-XR_002637017.1	246.138	5.08668	17.0706	10.2535	3.08695	4.02235	9.14903	9.32465	12.1142	14.762	7.17292	31.6129	12.5381	12.4787	8.30209	2.03594
rna-XR_002637713.1	48	0	6	14	3	2	1	4	7	24	2	16	8	11	6	1
rna-XR_002637880.1	17	0	0	3	0	3	1	5	4	6	2	4	5	3	3	4
rna-XR_002637799.1	3	2	2	6.44673	2	1	1	5	5	8	3	8	9	4	2	2
rna-XR_002638995.1	328.582	470.696	795.175	500.3	463.728	622.081	476.741	330.014	523.475	842.031	518.529	421.049	753.103	532.051	493.632	488.281
rna-XR_002634943.1	0	2.55626	1.94394	50.3035	6.23639	15.8729	12.8164	12.1538	33.76	0	30.0482	10.6641	8.26562	4.16828	6.04667	0
rna-XR_002638063.1	0	0	0	2.55327	0	0	0	0	1	0	0	0	0	2	0	0
rna-XR_002638876.1	0	0	1	2	1	0	0	0	2	1	1	2	0	4	3	0
rna-XR_002637797.1	459	1099	1948	719	1143	1741	1316	778	1328	4673	1611	419	1863	965	2051	1683
rna-XR_002635789.1	161	133.636	250.502	222.492	120	112.181	88.3606	230.701	118.9	85	103.482	549.686	132.532	215.613	94.2368	139.558
rna-XR_002634753.1	762.923	109.562	277.847	420.774	238.082	253.274	195.822	281.686	354.072	259.22	549.085	721.854	173.225	370.519	80.6355	30.197
rna-XR_002634768.1	76.9258	94.4614	121.151	167.179	91.4228	99.5655	78.5306	76.065	97.8935	97.7243	45.5167	120.089	77.9535	114.857	107.574	81.0743
rna-XR_002634760.1	93.2845	114.727	147.934	205.639	110.467	115.539	95.2605	91.8684	119.427	119.002	55.4857	147.686	95.3979	141.071	127.248	98.2739
rna-XR_002634750.1	102.727	126.437	163.472	228.073	121.43	124.464	104.919	100.963	131.911	131.322	61.262	163.781	105.535	156.344	138.398	108.198
rna-XR_002634765.1	102.727	126.437	163.472	228.073	121.43	124.464	104.919	100.963	131.911	131.322	61.262	163.781	105.535	156.344	138.398	108.198
rna-XR_002634752.1	137.192	169.25	220.594	311.173	161.297	155.597	140.186	134.021	177.764	176.484	82.4605	223.388	142.886	212.833	178.065	144.408
rna-XR_002634754.1	151.084	186.532	243.773	345.132	177.311	167.62	154.405	147.293	196.353	194.762	91.0483	247.741	158.075	235.884	193.673	158.997
rna-XR_002634762.1	151.084	186.532	243.773	345.132	177.311	167.62	154.405	147.293	196.353	194.762	91.0483	247.741	158.075	235.884	193.673	158.997
rna-XR_002634766.1	183.234	226.577	297.699	424.585	214.27	194.529	187.321	177.915	239.573	237.197	111.003	304.712	193.473	289.755	229.117	192.751
rna-XR_002633935.1	1	0	1	7	0	0	0	1	4	1	4	9	4	8	0	0
rna-XR_002634061.1	30	8	16	10	14	13	14	14	16	13	7	10	8	1	9	5
