target_id	length	eff_length	est_counts	tpm
rna-XR_002636969.1	1017	896.908	6.07477	24.5178
rna-XR_002635081.1	711	599.174	5	30.2076
rna-XR_002636046.1	3105	2984.91	2741.33	3324.52
rna-XR_002638148.1	1586	1465.91	39	96.3067
rna-XR_002639675.1	25148	25027.9	82	11.8601
rna-XR_002636574.1	10029	9908.91	23.3404	8.52672
rna-XR_002636864.1	6843	6722.91	24.3852	13.1301
rna-XR_002636863.1	6857	6736.91	495.685	266.344
rna-XR_002635698.1	5581	5460.91	73	48.3901
rna-XR_002637875.1	1611	1490.91	5.31903	12.9146
rna-XR_002639757.1	803	689.955	39	204.617
rna-XR_002637404.1	5548	5427.91	0	0
rna-XR_002637403.1	5983	5862.91	73.0676	45.1139
rna-XR_002638411.1	1032	911.908	0	0
rna-XR_002638407.1	729	616.909	27.1254	159.167
rna-XR_002639131.1	1047	926.908	33.5848	131.161
rna-XR_002637017.1	894	777.171	246.138	1146.47
rna-XR_002637713.1	950	830.887	48	209.121
rna-XR_002637880.1	796	682.955	17	90.1064
rna-XR_002637799.1	2043	1922.91	3	5.64757
rna-XR_002638995.1	4595	4474.91	328.582	265.802
rna-XR_002634943.1	2592	2471.91	0	0
rna-XR_002638063.1	2112	1991.91	0	0
rna-XR_002638876.1	781	668.247	0	0
rna-XR_002637797.1	729	616.909	459	2693.33
rna-XR_002635789.1	2467	2346.91	161	248.33
rna-XR_002634753.1	12574	12453.9	762.923	221.755
rna-XR_002634768.1	11583	11462.9	76.9258	24.2927
rna-XR_002634760.1	11581	11460.9	93.2845	29.4638
rna-XR_002634750.1	11580	11459.9	102.727	32.449
rna-XR_002634765.1	11580	11459.9	102.727	32.449
rna-XR_002634752.1	11577	11456.9	137.192	43.347
rna-XR_002634754.1	11576	11455.9	151.084	47.7404
rna-XR_002634762.1	11576	11455.9	151.084	47.7404
rna-XR_002634766.1	11574	11453.9	183.234	57.9096
rna-XR_002633935.1	431	322.666	1	11.2188
rna-XR_002634061.1	501	392.238	30	276.867
rna-XR_002639939.1	2258	2137.91	239.972	406.323
rna-XR_002636171.1	1823	1702.91	996	2117.22
rna-XR_002639137.1	2172	2051.91	308.556	544.346
rna-XR_002639138.1	13744	13623.9	423.62	112.557
rna-XR_002637000.1	940	821.065	0	0
rna-XR_002635934.1	8203	8082.91	429.024	192.138
rna-XR_002638094.1	4346	4225.91	9.43553	8.08248
rna-XR_002638095.1	4346	4225.91	9.43553	8.08248
rna-XR_002638091.1	4345	4224.91	12.2558	10.5008
rna-XR_002638093.1	4345	4224.91	12.2558	10.5008
rna-XR_002638097.1	4345	4224.91	12.2558	10.5008
rna-XR_002638090.1	4343	4222.91	20.6808	17.7278
rna-XR_002638096.1	4343	4222.91	20.6808	17.7278
rna-XR_002638679.1	12442	12321.9	627.451	184.332
rna-XR_002638671.1	11226	11105.9	513.444	167.355
rna-XR_002638132.1	668	556.597	0	0
rna-XR_002636687.1	622	511.37	3	21.2366
rna-XR_002638840.1	1814	1693.91	28	59.8366
rna-XR_002638600.1	25571	25450.9	334.707	47.6058
rna-XR_002635894.1	3468	3347.91	46.0159	49.7545
rna-XR_002635072.1	2915	2794.91	179.391	232.344
rna-XR_002636555.1	2022	1901.91	4	7.61323
rna-XR_002638364.1	4275	4154.91	2777.88	2420.2
rna-XR_002637425.1	53382	53261.9	2026.68	137.742
rna-XR_002637423.1	1528	1407.91	0	0
rna-XR_002637424.1	1524	1403.91	0	0
rna-XR_002637419.1	2114	1993.91	40.8117	74.0931
