gene_id	S12M	S13M	S16F	S19F	S22F	S23M	S29F	S31M	S35F	S36F	S39F	S3F	S41F	S44F	S48M	S50F	S52F	S53F	S54F	S59M	S64M	S6M	S76F	S77F	S7M	S9M
ATP6	566.819	570.473	562.216	571.012	573.677	586.164	575.039	547.835	573.746	572.888	572.061	570.685	572.371	565.308	571.045	571.548	568.42	577.107	578.045	552.894	547.391	568.174	572.983	568.501	563.564	567.974
COX1	1514.82	1518.47	1510.2	1518.99	1521.66	1534.1599999999999	1523.04	1495.8	1521.73	1520.83	1520.02	1518.66	1520.35	1513.21	1519.04	1519.53	1516.36	1525.07	1526.04	1500.89	1495.31	1516.17	1520.9500000000003	1516.5	1511.56	1515.91
COX2	584.819	588.473	580.216	589.012	591.677	604.164	593.039	565.835	591.746	590.888	590.061	588.685	590.371	583.294	589.045	589.548	586.42	595.107	596.045	570.894	565.391	586.174	590.983	586.501	581.564	585.974
COX3	676.819	680.473	672.196	680.991	683.658	696.164	685.039	657.801	683.746	682.871	682.061	680.685	682.371	675.265	681.045	681.534	678.385	687.107	688.045	662.894	657.391	678.174	682.983	678.501	673.564	677.974
CYTB	1103.82	1107.47	1099.2	1107.99	1110.66	1123.16	1112.04	1084.8	1110.73	1109.83	1109.02	1107.66	1109.35	1102.21	1108.0400000000002	1108.53	1105.36	1114.07	1115.04	1089.89	1084.31	1105.17	1109.95	1105.5	1100.56	1104.91
LOC111099029	4664.82	4668.47	4660.2	4668.99	4671.66	4684.16	4673.04	4645.8	4671.73	4670.83	4670.02	4668.66	4670.35	4663.21	4669.04	4669.53	4666.36	4675.07	4676.04	4650.89	4645.31	4666.17	4670.95	4666.5	4661.56	4665.91
LOC111099030	347.819	351.47299999999996	343.312	349.3219766186153	349.3219766186153	367.164	356.083	329.048	354.781	353.91	353.112	349.3219766186153	353.382	346.36	352.059	352.615	349.486	358.115	359.106	334.056	328.769	349.174	354.036	349.574	344.612	348.974
LOC111099031	686.819	690.473	682.196	690.991	693.658	706.164	695.039	667.801	688.1634402580253	692.871	692.04	690.685	692.371	685.248	691.045	688.1634402580253	688.3850000000001	697.091	698.045	672.894	667.391	688.174	688.1634402580253	688.1634402580253	683.564	687.974
LOC111099032	1187.82	1191.47	1183.2	1191.99	1194.66	1207.16	1196.04	1168.8	1194.73	1193.83	1193.02	1191.66	1193.35	1186.21	1192.04	1192.53	1189.36	1198.07	1199.04	1173.89	1168.31	1189.17	1193.95	1189.5	1184.56	1188.91
LOC111099033	1727.82	1731.47	1723.2	1731.99	1734.66	1747.16	1736.04	1708.8	1734.73	1729.3733064144412	1733.02	1731.66	1733.35	1726.21	1732.0399999999997	1732.53	1729.36	1738.07	1739.04	1713.89	1708.31	1729.17	1729.3733064144412	1729.5	1724.56	1728.91
