target_id	length	eff_length	est_counts	tpm
rna-XR_002636969.1	1017	914.026	55.2543	101.149
rna-XR_002635081.1	711	608.145	10	27.5136
rna-XR_002636046.1	3105	3002.03	187.543	104.53
rna-XR_002638148.1	1586	1483.03	97	109.44
rna-XR_002639675.1	25148	25045	1381	92.2628
rna-XR_002636574.1	10029	9926.03	431.922	72.8089
rna-XR_002636864.1	6843	6740.03	757.358	188.016
rna-XR_002636863.1	6857	6754.03	2989.69	740.659
rna-XR_002635698.1	5581	5478.03	347	105.989
rna-XR_002637875.1	1611	1508.03	31.8634	35.354
rna-XR_002639757.1	803	700.074	71	169.695
rna-XR_002637404.1	5548	5445.03	0	0
rna-XR_002637403.1	5983	5880.03	285.392	81.2115
rna-XR_002638411.1	1032	929.026	182.852	329.326
rna-XR_002638407.1	729	626.145	0	0
rna-XR_002639131.1	1047	944.026	29.6003	52.4646
rna-XR_002637017.1	894	791.074	96.2887	203.663
rna-XR_002637713.1	950	847.074	111	219.258
rna-XR_002637880.1	796	693.074	62	149.681
rna-XR_002637799.1	2043	1940.03	96.3531	83.1022
rna-XR_002638995.1	4595	4492.03	1011.54	376.788
rna-XR_002634943.1	2592	2489.03	12.4234	8.35152
rna-XR_002638063.1	2112	2009.03	13.6469	11.3659
rna-XR_002638876.1	781	678.074	0	0
rna-XR_002637797.1	729	626.145	211	563.848
rna-XR_002635789.1	2467	2364.03	457	323.459
rna-XR_002634753.1	12574	12471	1026.17	137.68
rna-XR_002634768.1	11583	11480	267.56	38.9972
rna-XR_002634760.1	11581	11478	334.757	48.7998
rna-XR_002634750.1	11580	11477	374.447	54.5904
rna-XR_002634765.1	11580	11477	374.447	54.5904
rna-XR_002634752.1	11577	11474	524.08	76.4252
rna-XR_002634754.1	11576	11473	586.24	85.4972
rna-XR_002634762.1	11576	11473	586.24	85.4972
rna-XR_002634766.1	11574	11471	733.573	107.003
rna-XR_002633935.1	431	328.365	16	81.5299
rna-XR_002634061.1	501	398.325	74.6712	313.668
rna-XR_002639939.1	2258	2155.03	1109.62	861.545
rna-XR_002636171.1	1823	1720.03	91	88.524
rna-XR_002639137.1	2172	2069.03	2113.24	1708.98
rna-XR_002639138.1	13744	13641	2411.31	295.774
rna-XR_002637000.1	940	837.074	4.18511	8.3656
rna-XR_002635934.1	8203	8100.03	1786.89	369.12
rna-XR_002638094.1	4346	4243.03	21.8519	8.61724
rna-XR_002638095.1	4346	4243.03	21.8519	8.61724
rna-XR_002638091.1	4345	4242.03	29.5892	11.6712
rna-XR_002638093.1	4345	4242.03	29.5892	11.6712
rna-XR_002638097.1	4345	4242.03	29.5892	11.6712
rna-XR_002638090.1	4343	4240.03	54.2643	21.4141
rna-XR_002638096.1	4343	4240.03	54.2643	21.4141
rna-XR_002638679.1	12442	12339	3024.06	410.076
rna-XR_002638671.1	11226	11123	1480.37	222.69
rna-XR_002638132.1	668	565.177	35	103.619
rna-XR_002636687.1	622	519.325	25	80.5481
rna-XR_002638840.1	1814	1711.03	74	72.3652
